SN       RA           DEC          z    zerr   maxmag maxerr filter mag magerr Ia cc 
2023aeab 10:00:33.363 +02:23:44.70 3.55 (0.09) 27.20 (0.09) F115W 27.50 (0.07) – –
2023aeaf 10:00:22.800 +02:22:24.61 3.55 (0.12) 27.50 (0.13) F150W 27.50 (0.13) 3.85 –
2023aeag 10:00:29.211 +02:22:28.53 3.51 (0.07) 26.00 (0.12) F277W 28.10 (0.16) – –
2023adzt 10:00:22.456 +02:20:56.46 2.35 (0.16) 27.10 (0.06) F150W 27.10 (0.07) – 1.88
2023aeax 10:00:26.401 +02:19:33.97 2.25 (0.10) 26.00 (0.04) F150W 26.00 (0.04) – –
2023aeam 10:00:34.227 +02:15:09.97 2.18 (0.11) 26.10 (0.04) F150W 26.10 (0.04) – –
2023aebk 10:00:25.124 +02:11:14.74 2.14 (0.14) 27.00 (0.07) F150W 27.00 (0.07) 1.84 3.82
2023aeal 10:00:22.698 +02:15:01.45 1.90 (0.14) 27.90 (0.22) F150W 27.90 (0.22) 2.02 –
2023aeaa 10:00:22.878 +02:23:11.13 1.89 (0.14) 27.40 (0.10) F150W 27.80 (0.15) 2.67 4.03
2023aeak 10:00:21.473 +02:14:53.80 1.88 (0.10) 25.60 (0.04) F115W 26.10 (0.04) 2.51 –
2023aebf 10:00:22.782 +02:10:31.54 1.75 (0.14) 25.40 (0.11) F277W – – –
2023adzw 10:00:31.677 +02:21:09.06 1.75 (0.14) 27.30 (0.10) F115W 27.50 (0.08) – 2.17
2023adze 10:00:33.547 +02:25:42.12 1.70 (0.13) 27.00 (0.10) F115W 27.10 (0.07) – –
2023adzi 10:00:23.748 +02:25:55.56 1.69 (0.13) 26.70 (0.10) F115W 27.10 (0.07) – –
2023adyx 10:00:43.238 +02:26:43.05 1.64 (0.14) 27.60 (0.16) F277W 27.70 (0.17) – –
2023aeaq 10:00:32.498 +02:17:07.33 1.61 (0.14) 27.30 (0.08) F150W 27.30 (0.08) – 2.50
2023adzo 10:00:39.312 +02:24:54.30 1.52 (0.15) 27.70 (0.13) F277W – – –
2023adyy 10:00:14.838 +02:16:58.39 1.52 (0.13) 26.60 (0.09) F115W 27.10 (0.10) – –
2023adzq 10:00:25.420 +02:20:36.49 1.49 (0.10) 25.90 (0.04) F115W 26.00 (0.03) – –
2023aeav 10:00:30.774 +02:19:22.36 1.48 (0.10) 27.20 (0.11) F115W 27.70 (0.11) – 1.42
2023adzy 10:00:34.676 +02:22:00.76 1.45 (0.13) 27.40 (0.14) F150W 27.40 (0.14) – –
2023aeas 10:00:25.818 +02:18:30.19 1.43 (0.07) 25.90 (0.04) F115W 25.90 (0.03) 1.56 –
2023adzp 10:00:43.731 +02:20:18.18 1.40 (0.13) 26.80 (0.06) F115W 27.10 (0.07) – –
2023aebh 10:00:37.121 +02:13:28.53 1.39 (0.07) 25.70 (0.04) F277W 27.70 (0.15) – –
2023adzn 10:00:45.601 +02:20:46.62 1.38 (0.14) 28.00 (0.20) F150W 28.00 (0.20) – –
2023adzx 10:00:32.664 +02:21:19.14 1.37 (0.10) 27.00 (0.08) F115W 27.10 (0.07) 1.19 3.39
2023aean 10:00:32.292 +02:15:15.07 1.29 (0.10) 25.70 (0.05) F115W 26.00 (0.04) – 1.27
2023aebe 10:00:34.317 +02:13:08.65 1.11 (0.12) 26.70 (0.12) F115W 27.10 (0.13) – –
2023aeai 10:00:44.004 +02:14:43.65 1.10 (0.11) 25.20 (0.03) F115W 25.40 (0.03) – –
2023aebj 10:00:25.184 +02:10:52.39 1.10 (0.14) 28.50 (0.22) F277W 28.70 (0.34) – –
2023adzs 10:00:24.796 +02:20:45.70 1.09 (0.13) 26.60 (0.08) F115W 26.80 (0.07) 3.53 4.91
2023aeac 10:00:33.613 +02:24:21.12 1.01 (0.13) 26.40 (0.11) F115W 26.90 (0.11) – –
2023aebc 10:00:18.539 +02:14:52.54 1.01 (0.10) 25.80 (0.04) F115W 26.30 (0.04) – –
2023aebd 10:00:30.622 +02:12:47.26 1.01 (0.12) 26.60 (0.10) F115W 26.90 (0.09) – –
2023aeba 10:00:17.348 +02:17:59.73 0.93 (0.15) 27.30 (0.07) F277W 27.40 (0.09) – –
2023aeap 10:00:29.165 +02:16:01.36 0.85 (0.12) 24.00 (0.02) F115W 24.30 (0.02) – –
2023adzc 10:00:24.453 +02:25:34.08 0.70 (0.07) 25.40 (0.06) F115W 25.90 (0.06) – –
2023adzj 10:00:42.116 +02:22:17.16 0.68 (0.10) 27.20 (0.17) F115W 28.00 (0.23) – –
2023aeat 10:00:32.912 +02:19:02.59 0.67 (0.15) 26.70 (0.08) F150W 26.80 (0.09) – –
2023adyz 10:00:41.132 +02:28:23.49 0.65 (0.15) 25.70 (0.04) F115W 26.00 (0.05)
2023adzm 10:00:44.261 +02:24:48.99 0.60 (0.14) 25.10 (0.03) F115W 25.20 (0.03) – –
2023aeaw 10:00:28.512 +02:19:27.67 0.59 (0.14) 27.50 (0.26) F150W 27.80 (0.33) – –
2023aebm 10:00:17.478 +02:14:12.79 0.59 (0.15) 27.90 (0.20) F150W 27.90 (0.20) – –
2023aeao 10:00:25.046 +02:15:41.35 0.55 (0.15) 27.40 (0.17) F115W 27.80 (0.16) – –
2023aeay 10:00:17.726 +02:15:44.07 0.55 (0.15) 26.40 (0.07) F115W 26.60 (0.05) – –
2023adzz 10:00:27.114 +02:22:41.22 0.54 (0.15) 26.70 (0.11) F115W 27.40 (0.16) – –
2023aeah 10:00:47.380 +02:18:03.00 0.53 (0.15) 26.00 (0.06) F115W 26.20 (0.05) – –
2023adzd 10:00:28.931 +02:27:46.92 0.49 (0.15) 25.90 (0.06) F115W 26.30 (0.05) – –
2023aeau 10:00:36.637 +02:19:18.31 0.48 (0.14) 26.00 (0.05) F115W 26.10 (0.03) – –
2023aebg 10:00:26.253 +02:13:26.14 0.41 (0.14) 24.30 (0.02) F115W 24.80 (0.02) – –
2023adzr 10:00:27.624 +02:20:38.05 0.39 (0.09) 25.50 (0.01) F150W 25.50 (0.02) – –
2023adzh 10:00:26.997 +02:25:55.38 0.30 (0.13) 26.90 (0.04) F150W 26.90 (0.04) – –
