ra,dec,z_spec,z_err,obj_class,survey,reference
242.04940796,54.1066818,0.066449,4e-06,,MMT/Hectospec,Cheng+2021
243.27735901,54.448925,0.087383,4e-06,,MMT/Hectospec,Cheng+2021
242.46851921,54.177063,0.066684,5e-06,,MMT/Hectospec,Cheng+2021
242.71734238,54.8891869,0.192521,5e-06,,MMT/Hectospec,Cheng+2021
243.0804348,54.3477821,0.112223,5e-06,,MMT/Hectospec,Cheng+2021
242.78045654,54.9041557,0.092271,5e-06,,MMT/Hectospec,Cheng+2021
241.96251869,54.2145538,0.065741,6e-06,,MMT/Hectospec,Cheng+2021
242.06674576,54.7358398,0.060566,6e-06,,MMT/Hectospec,Cheng+2021
243.24872017,54.2262993,0.270729,6e-06,,MMT/Hectospec,Cheng+2021
243.14354897,54.7454262,0.085763,7e-06,,MMT/Hectospec,Cheng+2021
242.60876656,54.7401047,0.249923,7e-06,,MMT/Hectospec,Cheng+2021
242.67122269,54.4341125,0.105458,7e-06,,MMT/Hectospec,Cheng+2021
242.21016884,54.7632599,0.127677,7e-06,,MMT/Hectospec,Cheng+2021
242.76763916,54.0647163,0.338622,7e-06,,MMT/Hectospec,Cheng+2021
242.23654747,54.3918953,0.143625,7e-06,,MMT/Hectospec,Cheng+2021
242.91506767,54.7973022,0.078019,7e-06,,MMT/Hectospec,Cheng+2021
241.9320488,54.7436943,0.09244,7e-06,,MMT/Hectospec,Cheng+2021
242.38062859,54.6034317,0.112571,7e-06,,MMT/Hectospec,Cheng+2021
242.34392166,53.988781,0.083331,7e-06,,MMT/Hectospec,Cheng+2021
243.30368042,54.2035599,0.1429,8e-06,,MMT/Hectospec,Cheng+2021
242.92679787,54.7351265,0.128294,8e-06,,MMT/Hectospec,Cheng+2021
243.16529274,54.6288071,0.183602,8e-06,,MMT/Hectospec,Cheng+2021
243.04052353,54.2551994,0.143735,8e-06,,MMT/Hectospec,Cheng+2021
242.51077652,54.6424789,0.218301,8e-06,,MMT/Hectospec,Cheng+2021
242.39107132,54.9155312,0.12652,8e-06,,MMT/Hectospec,Cheng+2021
243.24110985,54.4359207,0.107192,8e-06,,MMT/Hectospec,Cheng+2021
242.53083229,54.2079239,0.190736,8e-06,,MMT/Hectospec,Cheng+2021
242.72555351,54.3507881,0.138609,8e-06,,MMT/Hectospec,Cheng+2021
242.42048264,54.2071037,0.08219,8e-06,,MMT/Hectospec,Cheng+2021
242.77064323,54.83284,0.116378,8e-06,,MMT/Hectospec,Cheng+2021
242.82282829,54.5579872,0.235598,8e-06,,MMT/Hectospec,Cheng+2021
242.38617897,54.3016434,0.081833,8e-06,,MMT/Hectospec,Cheng+2021
242.41247177,54.6383438,0.118911,8e-06,,MMT/Hectospec,Cheng+2021
242.89506912,54.5119743,0.052878,8e-06,,MMT/Hectospec,Cheng+2021
242.43078232,54.1751099,0.087103,8e-06,,MMT/Hectospec,Cheng+2021
241.87623024,54.2316551,0.194193,8e-06,,MMT/Hectospec,Cheng+2021
241.97393417,54.7733688,0.092749,8e-06,,MMT/Hectospec,Cheng+2021
242.23214149,54.1440811,0.125863,9e-06,,MMT/Hectospec,Cheng+2021
241.81786537,54.408165,0.173055,9e-06,,MMT/Hectospec,Cheng+2021
243.21009636,54.7203255,0.334843,9e-06,,MMT/Hectospec,Cheng+2021
243.26534271,54.2614059,0.061724,9e-06,,MMT/Hectospec,Cheng+2021
242.48725891,54.3999329,0.233486,9e-06,,MMT/Hectospec,Cheng+2021
242.21451759,54.7576904,0.128421,9e-06,,MMT/Hectospec,Cheng+2021
242.32626915,54.897438,0.09205,9e-06,,MMT/Hectospec,Cheng+2021
243.31715584,54.4490471,0.128008,9e-06,,MMT/Hectospec,Cheng+2021
242.47879028,53.9511909,0.144036,9e-06,,MMT/Hectospec,Cheng+2021
242.04540253,54.0852127,0.234485,9e-06,,MMT/Hectospec,Cheng+2021
242.33402252,54.2182961,0.18503,9e-06,,MMT/Hectospec,Cheng+2021
242.3619175,54.3680649,0.228133,9e-06,,MMT/Hectospec,Cheng+2021
242.9229641,53.9884529,0.139597,9e-06,,MMT/Hectospec,Cheng+2021
242.64550209,54.2535286,0.236777,9e-06,,MMT/Hectospec,Cheng+2021
241.87763214,54.1390572,0.239881,9e-06,,MMT/Hectospec,Cheng+2021
241.92801476,54.364872,0.443892,9e-06,,MMT/Hectospec,Cheng+2021
243.24522972,54.6987381,0.244736,1e-05,,MMT/Hectospec,Cheng+2021
243.04143906,54.5393944,0.256238,1e-05,,MMT/Hectospec,Cheng+2021
242.11149216,54.0923271,0.233753,1e-05,,MMT/Hectospec,Cheng+2021
242.14756966,54.704895,0.204466,1e-05,,MMT/Hectospec,Cheng+2021
242.99649239,54.1096191,0.137645,1e-05,,MMT/Hectospec,Cheng+2021
242.74180412,54.4732246,0.143678,1e-05,,MMT/Hectospec,Cheng+2021
243.2261467,54.5068207,0.350494,1e-05,,MMT/Hectospec,Cheng+2021
241.9446373,54.6348839,0.190855,1e-05,,MMT/Hectospec,Cheng+2021
242.45587349,54.4633484,0.150118,1e-05,,MMT/Hectospec,Cheng+2021
242.10196495,54.3071938,0.239677,1e-05,,MMT/Hectospec,Cheng+2021
242.27537155,54.4589424,0.139084,1e-05,,MMT/Hectospec,Cheng+2021
242.17938423,54.8605347,0.109254,1e-05,,MMT/Hectospec,Cheng+2021
243.21996689,54.4647217,0.240159,1.1e-05,,MMT/Hectospec,Cheng+2021
242.81973839,54.1139565,0.127931,1.1e-05,,MMT/Hectospec,Cheng+2021
242.52937317,53.985508,0.228569,1.1e-05,,MMT/Hectospec,Cheng+2021
242.67205238,54.1684265,0.296212,1.1e-05,,MMT/Hectospec,Cheng+2021
242.65571594,54.4888649,0.152252,1.1e-05,,MMT/Hectospec,Cheng+2021
243.20923805,54.4111481,0.141464,1.1e-05,,MMT/Hectospec,Cheng+2021
242.61960983,54.2765388,0.143895,1.1e-05,,MMT/Hectospec,Cheng+2021
242.17042923,54.3647957,0.185,1.1e-05,,MMT/Hectospec,Cheng+2021
242.65843391,54.4957314,0.218568,1.1e-05,,MMT/Hectospec,Cheng+2021
243.18943977,54.4679451,0.15235,1.1e-05,,MMT/Hectospec,Cheng+2021
243.11928749,54.1235008,0.23133,1.1e-05,,MMT/Hectospec,Cheng+2021
242.69156456,54.1006622,0.234466,1.1e-05,,MMT/Hectospec,Cheng+2021
243.17293167,54.7311974,0.301924,1.1e-05,,MMT/Hectospec,Cheng+2021
242.3767662,54.1729698,0.067159,1.1e-05,,MMT/Hectospec,Cheng+2021
242.72429466,54.1928635,0.174348,1.1e-05,,MMT/Hectospec,Cheng+2021
241.82933807,54.6099091,0.120487,1.1e-05,,MMT/Hectospec,Cheng+2021
243.3774662,54.5293541,0.063154,1.1e-05,,MMT/Hectospec,Cheng+2021
242.5361824,54.8496513,0.117207,1.1e-05,,MMT/Hectospec,Cheng+2021
242.7775383,54.3967857,0.267705,1.2e-05,,MMT/Hectospec,Cheng+2021
242.74749756,54.0497971,0.063895,1.2e-05,,MMT/Hectospec,Cheng+2021
242.65173912,54.8476448,0.190165,1.2e-05,,MMT/Hectospec,Cheng+2021
242.48139381,54.7550583,0.232467,1.2e-05,,MMT/Hectospec,Cheng+2021
242.91509628,54.577137,0.235657,1.2e-05,,MMT/Hectospec,Cheng+2021
242.99589157,54.3288498,0.208368,1.2e-05,,MMT/Hectospec,Cheng+2021
243.0639267,54.0430908,0.139202,1.2e-05,,MMT/Hectospec,Cheng+2021
242.29585648,54.384861,0.284164,1.2e-05,,MMT/Hectospec,Cheng+2021
243.07519913,54.2955284,0.302236,1.2e-05,,MMT/Hectospec,Cheng+2021
242.92708397,54.0203285,0.138538,1.2e-05,,MMT/Hectospec,Cheng+2021
242.54776955,54.0182533,0.337465,1.2e-05,,MMT/Hectospec,Cheng+2021
242.73877144,54.5101738,0.18991,1.2e-05,,MMT/Hectospec,Cheng+2021
242.29056358,54.0507812,0.260555,1.2e-05,,MMT/Hectospec,Cheng+2021
241.90286636,54.290329,0.234628,1.2e-05,,MMT/Hectospec,Cheng+2021
243.26931953,54.2445335,0.142676,1.2e-05,,MMT/Hectospec,Cheng+2021
241.93885803,54.1914635,0.360975,1.2e-05,,MMT/Hectospec,Cheng+2021
241.80716515,54.517765,0.140005,1.2e-05,,MMT/Hectospec,Cheng+2021
242.7775383,54.4326591,0.070295,1.3e-05,,MMT/Hectospec,Cheng+2021
242.77779579,54.130703,0.23425,1.3e-05,,MMT/Hectospec,Cheng+2021
243.15934181,54.2333527,0.243587,1.3e-05,,MMT/Hectospec,Cheng+2021
242.94728279,54.014637,0.147923,1.3e-05,,MMT/Hectospec,Cheng+2021
242.61960983,54.0547409,0.227781,1.3e-05,,MMT/Hectospec,Cheng+2021
241.94540977,54.3930931,0.235502,1.3e-05,,MMT/Hectospec,Cheng+2021
242.59955406,54.616497,0.234695,1.3e-05,,MMT/Hectospec,Cheng+2021
242.74303436,54.7478218,0.266819,1.3e-05,,MMT/Hectospec,Cheng+2021
242.80394554,54.2150955,0.337042,1.3e-05,,MMT/Hectospec,Cheng+2021
242.75087357,54.0569916,0.275921,1.3e-05,,MMT/Hectospec,Cheng+2021
241.99707985,54.5146141,0.190729,1.3e-05,,MMT/Hectospec,Cheng+2021
243.22431564,54.4482117,0.336846,1.3e-05,,MMT/Hectospec,Cheng+2021
242.34449387,54.0380554,0.260925,1.3e-05,,MMT/Hectospec,Cheng+2021
242.30575562,54.3655357,0.233594,1.3e-05,,MMT/Hectospec,Cheng+2021
242.64387131,54.8608665,0.147882,1.3e-05,,MMT/Hectospec,Cheng+2021
242.74492264,54.4499931,0.143675,1.3e-05,,MMT/Hectospec,Cheng+2021
242.51993179,54.8472366,0.329101,1.3e-05,,MMT/Hectospec,Cheng+2021
241.77254677,54.2819481,0.22143,1.3e-05,,MMT/Hectospec,Cheng+2021
242.91666985,54.1419411,0.307544,1.4e-05,,MMT/Hectospec,Cheng+2021
242.8046608,54.2957649,0.143362,1.4e-05,,MMT/Hectospec,Cheng+2021
241.96074486,54.6412964,0.203258,1.4e-05,,MMT/Hectospec,Cheng+2021
242.81121254,54.8979034,0.052795,1.4e-05,,MMT/Hectospec,Cheng+2021
243.09654236,54.0636177,0.229707,1.4e-05,,MMT/Hectospec,Cheng+2021
243.02504539,54.5491943,0.127608,1.4e-05,,MMT/Hectospec,Cheng+2021
242.32910156,54.1313248,0.210912,1.4e-05,,MMT/Hectospec,Cheng+2021
242.3669529,54.3262825,0.233662,1.4e-05,,MMT/Hectospec,Cheng+2021
242.06173897,54.8245811,0.127399,1.4e-05,,MMT/Hectospec,Cheng+2021
242.40735054,54.7534599,0.152787,1.4e-05,,MMT/Hectospec,Cheng+2021
243.05605888,54.3122101,0.336291,1.4e-05,,MMT/Hectospec,Cheng+2021
242.00895309,54.2647476,0.40889,1.4e-05,,MMT/Hectospec,Cheng+2021
242.57540703,54.0477219,0.263421,1.4e-05,,MMT/Hectospec,Cheng+2021
243.04907799,54.3374672,0.210759,1.4e-05,,MMT/Hectospec,Cheng+2021
241.75111771,54.4708176,0.237785,1.4e-05,,MMT/Hectospec,Cheng+2021
243.21707726,54.7097931,0.333874,1.4e-05,,MMT/Hectospec,Cheng+2021
243.0768013,54.2956543,0.301707,1.4e-05,,MMT/Hectospec,Cheng+2021
242.47014999,54.1627617,0.211617,1.4e-05,,MMT/Hectospec,Cheng+2021
242.92654037,54.8267441,0.266599,1.5e-05,,MMT/Hectospec,Cheng+2021
242.68100739,54.7849998,0.190075,1.5e-05,,MMT/Hectospec,Cheng+2021
